Farm_ID,Date,Crop,Disease,Growth_Stage,Weather_Condition,Severity,Treatment_Applied,Treatment_Type,Dosage,Cost_Per_Acre,Outcome,Analyst_Notes
1252e585,9/21/2025,Tomato,Early Blight,Harvest Ready,Dry/Sunny,Moderate,Bacillus subtilis,Organic,2.0 pts/acre,35,Partial Control,Bacillus subtilis used during Harvest Ready stage under Dry/Sunny conditions for Moderate Early Blight. Outcome: Partial Control. Recommended.
5705d189,2/27/2025,Potato,Early Blight,Harvest Ready,Humid,Moderate,Chlorothalonil (Bravo),Chemical,2.0 pts/acre,20,Success,Chlorothalonil (Bravo) used during Harvest Ready stage under Humid conditions for Moderate Early Blight. Outcome: Success. Recommended.
83f23b35,3/24/2025,Grape,Black Rot,Fruiting,Humid,High,Captan,Chemical,3.0 pts/acre,25,Partial Control,Captan used during Fruiting stage under Humid conditions for High Black Rot. Outcome: Partial Control. Recommended.
47e0154e,3/21/2025,Grape,Leaf Blight,Seedling,Dry/Sunny,Low,Mancozeb,Chemical,2.0 pts/acre,17,Success,Mancozeb used during Seedling stage under Dry/Sunny conditions for Low Leaf Blight. Outcome: Success. Recommended.
c606c12c,12/9/2025,Tomato,Early Blight,Harvest Ready,Dry/Sunny,Critical,Mancozeb (Dithane),Chemical,3.0 pts/acre,19,Failure,Mancozeb (Dithane) used during Harvest Ready stage under Dry/Sunny conditions for Critical Early Blight. Outcome: Failure. unsafe due to PHI (5 days).
fc07a056,2/28/2025,Tomato,Bacterial Spot,Flowering,Hot,High,Bacteriophages,Organic,3.0 pts/acre,55,Partial Control,Bacteriophages used during Flowering stage under Hot conditions for High Bacterial Spot. Outcome: Partial Control. Recommended.
9f9e1679,5/8/2025,Grape,Black Rot,Seedling,Rainy,Critical,Lime Sulfur,Organic,3.0 pts/acre,13,Failure,Lime Sulfur used during Seedling stage under Rainy conditions for Critical Black Rot. Outcome: Failure. Recommended.
0d3b1f12,6/29/2025,Apple,Black Rot,Flowering,Cold,Moderate,Thiophanate-methyl,Chemical,2.0 pts/acre,32,Success,Thiophanate-methyl used during Flowering stage under Cold conditions for Moderate Black Rot. Outcome: Success. Recommended.
d00f611c,4/12/2025,Apple,Black Rot,Flowering,Hot,Low,Lime Sulfur,Organic,2.0 pts/acre,13,Partial Control,Lime Sulfur used during Flowering stage under Hot conditions for Low Black Rot. Outcome: Partial Control. Recommended.
58f692ef,8/23/2025,Apple,Apple Scab,Fruiting,Cold,Critical,Captan,Chemical,3.0 pts/acre,23,Success,Captan used during Fruiting stage under Cold conditions for Critical Apple Scab. Outcome: Success. Recommended.
936cb51b,5/11/2025,Potato,Late Blight,Harvest Ready,Hot,High,Fixed Copper,Organic,3.0 pts/acre,12,Partial Control,Fixed Copper used during Harvest Ready stage under Hot conditions for High Late Blight. Outcome: Partial Control. Recommended.
029016d5,3/7/2025,Apple,Cedar Apple Rust,Vegetative,Dry/Sunny,Critical,Propiconazole,Chemical,3.0 pts/acre,30,Success,Propiconazole used during Vegetative stage under Dry/Sunny conditions for Critical Cedar Apple Rust. Outcome: Success. Recommended.
b8ebfb66,3/9/2025,Apple,Apple Scab,Flowering,Rainy,High,Sulfur,Organic,3.0 pts/acre,9,Failure,Sulfur used during Flowering stage under Rainy conditions for High Apple Scab. Outcome: Failure. Recommended.
4c33f1de,11/8/2025,Potato,Early Blight,Seedling,Humid,Moderate,Chlorothalonil (Bravo),Chemical,2.0 pts/acre,24,Success,Chlorothalonil (Bravo) used during Seedling stage under Humid conditions for Moderate Early Blight. Outcome: Success. Recommended.
733e1f85,8/15/2025,Potato,Late Blight,Flowering,Dry/Sunny,Moderate,Ridomil Gold,Chemical,2.0 pts/acre,57,Success,Ridomil Gold used during Flowering stage under Dry/Sunny conditions for Moderate Late Blight. Outcome: Success. Recommended.
4d31255a,12/8/2025,Grape,Leaf Blight,Vegetative,Hot,High,Mancozeb,Chemical,3.0 pts/acre,18,Partial Control,Mancozeb used during Vegetative stage under Hot conditions for High Leaf Blight. Outcome: Partial Control. Recommended.
79c86d61,2/3/2026,Potato,Late Blight,Vegetative,Rainy,Critical,Propamocarb,Chemical,3.0 pts/acre,44,Partial Control,Propamocarb used during Vegetative stage under Rainy conditions for Critical Late Blight. Outcome: Partial Control. Recommended.
3403aed3,12/17/2025,Tomato,Bacterial Spot,Harvest Ready,Rainy,Moderate,Bacteriophages,Organic,2.0 pts/acre,49,Partial Control,Bacteriophages used during Harvest Ready stage under Rainy conditions for Moderate Bacterial Spot. Outcome: Partial Control. Recommended.
ea8ead90,5/22/2025,Tomato,Late Blight,Vegetative,Rainy,Low,Fixed Copper,Organic,2.0 pts/acre,11,Partial Control,Fixed Copper used during Vegetative stage under Rainy conditions for Low Late Blight. Outcome: Partial Control. Recommended.
4d1a4878,2/8/2026,Potato,Early Blight,Vegetative,Humid,Low,Azoxystrobin (Quadris),Chemical,2.0 pts/acre,48,Success,Azoxystrobin (Quadris) used during Vegetative stage under Humid conditions for Low Early Blight. Outcome: Success. Recommended.
7bb21415,2/12/2026,Grape,Esca (Black Measles),Seedling,Cold,Critical,Pruning & Sanitation,Mechanical,3.0 pts/acre,100,Partial Control,Pruning & Sanitation used during Seedling stage under Cold conditions for Critical Esca (Black Measles). Outcome: Partial Control. Recommended.
1be46f55,2/28/2025,Apple,Black Rot,Fruiting,Rainy,Critical,Lime Sulfur,Organic,3.0 pts/acre,12,Failure,Lime Sulfur used during Fruiting stage under Rainy conditions for Critical Black Rot. Outcome: Failure. Recommended.
ca46e932,6/28/2025,Potato,Late Blight,Flowering,Humid,Critical,Fixed Copper,Organic,3.0 pts/acre,14,Failure,Fixed Copper used during Flowering stage under Humid conditions for Critical Late Blight. Outcome: Failure. Recommended.
f3574fbf,1/28/2026,Tomato,Early Blight,Seedling,Rainy,Critical,Bacillus subtilis,Organic,3.0 pts/acre,35,Failure,Bacillus subtilis used during Seedling stage under Rainy conditions for Critical Early Blight. Outcome: Failure. Recommended.
d7071efa,5/11/2025,Tomato,Bacterial Spot,Seedling,Hot,High,Agri-Mycin,Chemical,3.0 pts/acre,34,Partial Control,Agri-Mycin used during Seedling stage under Hot conditions for High Bacterial Spot. Outcome: Partial Control. Recommended.
45a2ebe2,2/8/2026,Grape,Esca (Black Measles),Flowering,Rainy,Critical,Trichoderma species,Organic,3.0 pts/acre,36,Failure,Trichoderma species used during Flowering stage under Rainy conditions for Critical Esca (Black Measles). Outcome: Failure. Recommended.
29da544e,8/7/2025,Grape,Esca (Black Measles),Flowering,Hot,Moderate,Trichoderma species,Organic,2.0 pts/acre,44,Partial Control,Trichoderma species used during Flowering stage under Hot conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
9.76E+10,1/8/2026,Tomato,Late Blight,Fruiting,Cold,Moderate,Propamocarb,Chemical,2.0 pts/acre,39,Success,Propamocarb used during Fruiting stage under Cold conditions for Moderate Late Blight. Outcome: Success. Recommended.
930a952c,5/29/2025,Apple,Apple Scab,Fruiting,Hot,Low,Myclobutanil,Chemical,2.0 pts/acre,36,Success,Myclobutanil used during Fruiting stage under Hot conditions for Low Apple Scab. Outcome: Success. Recommended.
fb69e630,3/31/2025,Tomato,Bacterial Spot,Vegetative,Rainy,High,Copper + Mancozeb,Chemical,3.0 pts/acre,30,Partial Control,Copper + Mancozeb used during Vegetative stage under Rainy conditions for High Bacterial Spot. Outcome: Partial Control. Recommended.
71465737,1/6/2026,Potato,Late Blight,Fruiting,Hot,High,Propamocarb,Chemical,3.0 pts/acre,44,Success,Propamocarb used during Fruiting stage under Hot conditions for High Late Blight. Outcome: Success. Recommended.
91d41e1b,12/22/2025,Tomato,Late Blight,Flowering,Humid,Critical,Fixed Copper,Organic,3.0 pts/acre,20,Failure,Fixed Copper used during Flowering stage under Humid conditions for Critical Late Blight. Outcome: Failure. Recommended.
2f5a6de5,6/18/2025,Potato,Early Blight,Vegetative,Hot,Critical,Bacillus subtilis,Organic,3.0 pts/acre,32,Failure,Bacillus subtilis used during Vegetative stage under Hot conditions for Critical Early Blight. Outcome: Failure. Recommended.
e6554a48,1/21/2026,Potato,Early Blight,Vegetative,Humid,Critical,Mancozeb (Dithane),Chemical,3.0 pts/acre,19,Success,Mancozeb (Dithane) used during Vegetative stage under Humid conditions for Critical Early Blight. Outcome: Success. Recommended.
54d449ba,3/13/2025,Apple,Black Rot,Seedling,Dry/Sunny,Low,Thiophanate-methyl,Chemical,2.0 pts/acre,34,Success,Thiophanate-methyl used during Seedling stage under Dry/Sunny conditions for Low Black Rot. Outcome: Success. Recommended.
32f1e65a,7/17/2025,Apple,Cedar Apple Rust,Vegetative,Humid,Moderate,Propiconazole,Chemical,2.0 pts/acre,34,Success,Propiconazole used during Vegetative stage under Humid conditions for Moderate Cedar Apple Rust. Outcome: Success. Recommended.
48e724a7,7/10/2025,Potato,Early Blight,Harvest Ready,Humid,Critical,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,48,Success,Azoxystrobin (Quadris) used during Harvest Ready stage under Humid conditions for Critical Early Blight. Outcome: Success. Recommended.
54883c9f,10/29/2025,Tomato,Early Blight,Harvest Ready,Cold,Moderate,Copper Hydroxide,Organic,2.0 pts/acre,20,Partial Control,Copper Hydroxide used during Harvest Ready stage under Cold conditions for Moderate Early Blight. Outcome: Partial Control. Recommended.
27e2fce0,1/14/2026,Potato,Early Blight,Vegetative,Hot,High,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,46,Success,Azoxystrobin (Quadris) used during Vegetative stage under Hot conditions for High Early Blight. Outcome: Success. Recommended.
d97d436e,3/2/2025,Grape,Esca (Black Measles),Flowering,Dry/Sunny,Low,Pruning & Sanitation,Mechanical,2.0 pts/acre,95,Partial Control,Pruning & Sanitation used during Flowering stage under Dry/Sunny conditions for Low Esca (Black Measles). Outcome: Partial Control. Recommended.
190ece19,1/2/2026,Potato,Early Blight,Vegetative,Rainy,Low,Copper Hydroxide,Organic,2.0 pts/acre,14,Failure,Copper Hydroxide used during Vegetative stage under Rainy conditions for Low Early Blight. Outcome: Failure. Recommended.
746386cf,7/11/2025,Grape,Esca (Black Measles),Fruiting,Cold,Critical,Trichoderma species,Organic,3.0 pts/acre,43,Failure,Trichoderma species used during Fruiting stage under Cold conditions for Critical Esca (Black Measles). Outcome: Failure. Recommended.
92598dde,11/29/2025,Apple,Cedar Apple Rust,Fruiting,Rainy,High,Myclobutanil,Chemical,3.0 pts/acre,43,Partial Control,Myclobutanil used during Fruiting stage under Rainy conditions for High Cedar Apple Rust. Outcome: Partial Control. Recommended.
1d5a0ccd,9/24/2025,Apple,Black Rot,Vegetative,Rainy,Low,Thiophanate-methyl,Chemical,2.0 pts/acre,36,Partial Control,Thiophanate-methyl used during Vegetative stage under Rainy conditions for Low Black Rot. Outcome: Partial Control. Recommended.
caa73bf4,8/30/2025,Potato,Early Blight,Vegetative,Humid,Critical,Copper Hydroxide,Organic,3.0 pts/acre,10,Failure,Copper Hydroxide used during Vegetative stage under Humid conditions for Critical Early Blight. Outcome: Failure. Recommended.
b371ed30,10/15/2025,Potato,Late Blight,Vegetative,Rainy,High,Ridomil Gold,Chemical,3.0 pts/acre,57,Partial Control,Ridomil Gold used during Vegetative stage under Rainy conditions for High Late Blight. Outcome: Partial Control. Recommended.
3f637c63,3/6/2025,Grape,Leaf Blight,Seedling,Rainy,Critical,Copper Oxychloride,Chemical,3.0 pts/acre,18,Partial Control,Copper Oxychloride used during Seedling stage under Rainy conditions for Critical Leaf Blight. Outcome: Partial Control. Recommended.
9d9c27d4,12/10/2025,Apple,Apple Scab,Flowering,Humid,Moderate,Sulfur,Organic,2.0 pts/acre,11,Partial Control,Sulfur used during Flowering stage under Humid conditions for Moderate Apple Scab. Outcome: Partial Control. Recommended.
e8f8d939,3/19/2025,Tomato,Late Blight,Vegetative,Dry/Sunny,Low,Fixed Copper,Organic,2.0 pts/acre,16,Partial Control,Fixed Copper used during Vegetative stage under Dry/Sunny conditions for Low Late Blight. Outcome: Partial Control. Recommended.
b564dd01,10/27/2025,Apple,Black Rot,Flowering,Humid,Low,Thiophanate-methyl,Chemical,2.0 pts/acre,37,Success,Thiophanate-methyl used during Flowering stage under Humid conditions for Low Black Rot. Outcome: Success. Recommended.
