Crop,Disease,Organic_Treatment,Chemical_Treatment,Dosage,PHI,Expert_Notes,Cultural_Control
Apple,Apple Scab (Venturia inaequalis),Sulfur or Potassium Bicarbonate sprays.,"Captan, Myclobutanil (Immunox), Flint.",Captan 80 WDG: 2.5-5.0 lbs/acre. Flint: 2 oz/acre.,0-14 days,Primary infection occurs during spring rains. Timing is critical (Mills Table).,Flail mow leaf litter in autumn to speed up decomposition.
Apple,Black Rot (Diplodia seriata),"Copper based products, Lime-sulfur.","Mancozeb (Dithane), Captan, Thiophanate-methyl.",Dithane M45: 3 lbs/acre. Captan: 2.5 lbs/acre.,0-7 days,Commonly causes 'frog-eye' leaf spot. Overwinters in cankers and mummies.,Prune out dead wood and remove 'mummies' (shriveled fruit) from tree.
Apple,Cedar Apple Rust (Gymnosporangium),Limited success with Sulfur. Focus on resistant varieties.,"Myclobutanil (Immunox), Chlorothalonil, Mancozeb.",Immunox: 4-8 fl oz/acre. Mancozeb: 3 lbs/acre.,14-77 days (check label for specific timing),Requires alternate host (Juniper/Red Cedar). Do not plant near junipers.,Remove galls from nearby juniper trees in early spring.
Grape,Black Rot (Guignardia bidwellii),Copper or Sulfur (can be phytotoxic).,"Myclobutanil (Rally), Mancozeb, Elite.",Rally: 3-5 oz/acre. Mancozeb: 3-4 lbs/acre.,"14 days (Rally), 66 days (Mancozeb).",Most critical spray period is pre-bloom through 4 weeks post-bloom.,Winter pruning of mummies is mandatory for control.
Grape,Esca (Black Measles),Trichoderma species (Bio-control for pruning wounds).,No direct cure for established infection. Vector control for insects.,Pruning sealant (Vitiseal) immediately after cuts.,N/A,Fungal complex entering through pruning wounds. Causes 'tiger stripe' leaves.,Disinfect tools between vines. Protect large pruning cuts within 24 hours.
Grape,Leaf Blight (Isariopsis),Standard Copper/Sulfur fungicide program.,"Mancozeb, Ziram, or Strobilurins.",Mancozeb: 2-4 lbs/acre.,66 days,Usually a minor disease appearing late in the season on poorly sprayed vines.,Improve canopy airflow through shoot thinning and leaf removal.
Potato,Early Blight (Alternaria solani),"Copper hydroxide, Bacillus subtilis.","Chlorothalonil, Mancozeb, Azoxystrobin.",Bravo: 1.5 pt/acre. Quadris: 6.0 fl oz/acre.,7 days,Characterized by bull's-eye rings on lower leaves.,Crop rotation (3 years). Avoid overhead irrigation.
Potato,Late Blight (Phytophthora infestans),Preventative Copper Sulfate sprays.,"Ridomil Gold, Revus, Ranman.",Ranman: 2.1 fl oz/acre. Ridomil: 0.42 fl oz/1000 row ft.,7-14 days,High humidity (>90%) for 10 hours triggers outbreak.,Plant certified seed. Destroy all cull piles.
Tomato,Bacterial Spot (Xanthomonas),"Copper based fungicides, Serenade ASO.","Copper + Mancozeb tank mix, Actigard.",Actigard: 0.3 oz/acre. Copper mix: 1 lb/acre.,14 days (Actigard).,"Favors warm, humid weather. Spread by splashing water.",Sanitize tools with 10% bleach. Use disease-free seed.
Tomato,Early Blight (Alternaria solani),"Copper Octanoate, Bacillus amyloliquefaciens.","Chlorothalonil (Bravo), Azoxystrobin (Quadris).",Bravo: 1.5-2 pt/acre. Quadris: 6.2 fl oz/acre.,0 days (Quadris).,Starts on bottom leaves. Bull's-eye pattern spots.,Drip irrigation. Stake plants to keep leaves dry.
Tomato,Late Blight (Phytophthora infestans),Fixed copper (preventative).,"Ridomil Gold, Revus Top, Tanos.",Tanos: 8 oz/acre. Ridomil: 1 lb/acre.,5 days,Very aggressive. Can kill plants in days.,Avoid overhead watering. Destroy infected plants immediately.
Tomato,Leaf Mold (Passalora fulva),Ensure humidity < 85%. Serenade ASO.,"Revus Top, Tanos, Amistar.",Revus Top: 5.5-7.0 fl oz/acre.,1 day,"Common in greenhouses. Yellow spots on top, fuzzy mold underside.",Improve ventilation. Remove lower leaves for airflow.
Tomato,Septoria Leaf Spot (Septoria lycopersici),"Fixed Copper, Regalia.","Chlorothalonil, Azoxystrobin, Mancozeb.",Daconil: 1-2 lbs/acre.,0-7 days,Small spots with dark borders and grey centers. Spreads upward.,3-year crop rotation. Mulch soil to prevent splashing.
Tomato,Spider Mites (Tetranychus urticae),"Neem oil, Insecticidal soap, Horticultural oil.","Abamectin (Agri-Mek), Oberon, Portal.",Agri-Mek: 8-16 fl oz/acre.,7 days,Tiny stippling on leaves. Webbing in severe cases. Favors hot/dry weather.,Blast with water. Increase humidity. Avoid broad-spectrum insecticides.
Tomato,Target Spot (Corynespora cassiicola),Standard Copper spray program.,"Inspire Super, Luna Tranquility, Revus Top.",Inspire Super: 16-20 fl oz/acre.,7 days,Necrotic lesions with concentric rings. Mistaken for early blight.,Avoid planting new crops near old diseased ones. Drip irrigation.
Tomato,Yellow Leaf Curl Virus (TYLCV),Control whitefly vectors using Neem or Soap.,"No cure. Insecticides for whiteflies (Imidacloprid, Oberon).",Admire Pro (Imidacloprid): 7-10.5 fl oz/acre.,21 days,"Transmitted by Whiteflies. Leaves turn small, yellow and curl up.",Use silver reflective mulch. Remove infected plants in bags immediately.
Tomato,Mosaic Virus (ToMV/TMV),Sanitation is the only control.,No cure. Non-host rotation for 2 years.,N/A,N/A,Mottled leaves. Extremely contagious through touch/tools.,Wash hands with milk/soap before handling plants. Avoid tobacco use near plants.
